mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,param_regressor__learning_rate,param_regressor__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.055952548980713,0.08685331780386091,0.03795628547668457,0.022745228244071925,0.001,adaptive,1500,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1500}",-0.03237188956986696,-0.0324110023431921,-0.035651908699726766,-0.033871095229901824,-0.03412260177872388,-0.03368569952428231,0.0012200150137601125,1
1.0270007133483887,0.0553211895974771,0.03612384796142578,0.02381861168867904,0.001,adaptive,500,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 500}",-0.032481014843793156,-0.03246620719055273,-0.0356950544578241,-0.033801209912420055,-0.03432811653951288,-0.03375432058882058,0.0012147783336158794,2
1.0671642303466797,0.10972770129027962,0.039446115493774414,0.02162644045215044,0.001,adaptive,1000,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1000}",-0.032418645660871735,-0.03279134307994148,-0.035605985419917066,-0.03372402369894916,-0.0343893037220993,-0.03378586031635575,0.001143605137405137,3
1.030810260772705,0.037745598969123176,0.020459747314453124,0.0026308636035716837,0.01,adaptive,1500,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1500}",-0.032669534001464016,-0.032962023507405465,-0.035635742269903264,-0.034240746226562764,-0.03413439359837278,-0.03392848792074166,0.001055806634140554,4
1.0972106456756592,0.05371394012768543,0.01841254234313965,0.0013399318561297421,0.01,adaptive,1000,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1000}",-0.03267273190561305,-0.03297253907293363,-0.0356291072179803,-0.03424747035075227,-0.03417402505122451,-0.033939174719700746,0.0010530275018287873,5
1.0134585857391358,0.07336396161871932,0.03426055908203125,0.015014663370757896,0.01,adaptive,500,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 500}",-0.03267196082593817,-0.03298050150237675,-0.03563026128753213,-0.03426832728201262,-0.03417735342465604,-0.03394568086450315,0.0010535196272712436,6
0.358732795715332,0.06772214369240977,0.03350834846496582,0.018068298377136645,0.01,constant,1000,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 1000}",-0.03291783696810368,-0.033521840998172396,-0.03575183544087824,-0.03439719538958569,-0.034126527856503074,-0.034143047330648615,0.0009529009447471213,7
1.5194196701049805,2.0847054840465016,0.052577877044677736,0.01833634095879139,0.001,constant,1000,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 1000}",-0.032720085119438025,-0.03381509310180665,-0.03644776892940774,-0.034548181708316965,-0.03487827356830373,-0.03448188048545462,0.0012308345972600644,8
0.6483436107635498,0.526251217652501,0.03667693138122559,0.020862507249679158,0.001,constant,1500,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 1500}",-0.03285587864838251,-0.03384196087059617,-0.036190755490152035,-0.0344244098957163,-0.03575977248372478,-0.03461455547771436,0.0012265341764006582,9
0.3840179443359375,0.09487027361606376,0.042059135437011716,0.01609428407227034,0.01,constant,1500,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 1500}",-0.033139789098876576,-0.03295454379023652,-0.03710754378948851,-0.03606457730310415,-0.034881494956788474,-0.034829589787698845,0.0016179114070058627,10
1.9727677345275878,1.7967279729082744,0.06074957847595215,0.008954856127172119,0.001,constant,500,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 500}",-0.03370163005758262,-0.03320984217077662,-0.037026671555035535,-0.034635570517833635,-0.03567213621613531,-0.03484917010347275,0.0013761289768748754,11
0.3356354236602783,0.053267059317689394,0.02579665184020996,0.010168431900714698,0.01,constant,500,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 500}",-0.03364971463246756,-0.03456824623400985,-0.03560464526617249,-0.03728709393795018,-0.03607731490971624,-0.035437402996063266,0.0012498061431280832,12
0.9929266452789307,0.09484681632011133,0.021059513092041016,0.009652284016003753,0.1,adaptive,500,"{'regressor__alpha': 0.1, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 500}",-0.03402542861176921,-0.03505666160026599,-0.03751413391643994,-0.036355074232011134,-0.03509657602332133,-0.03560957487676152,0.0012051153246178102,13
0.8960329055786133,0.00822851137075938,0.018489551544189454,0.0032799147252692297,0.1,adaptive,1000,"{'regressor__alpha': 0.1, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1000}",-0.03404604684853198,-0.03506791540612619,-0.0375061646379353,-0.03637283291631712,-0.03509571657910372,-0.03561773527760287,0.0011984446440020586,14
0.8936439037322998,0.007046129566893107,0.01727461814880371,0.0018541608138276369,0.1,adaptive,1500,"{'regressor__alpha': 0.1, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1500}",-0.03403791323086595,-0.035071532982136874,-0.037526816912190515,-0.0363437738997745,-0.03512656077947828,-0.03562131956088922,0.0012005904853452432,15
