mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,param_regressor__learning_rate,param_regressor__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1504335880279541,0.07990918276722503,0.023271465301513673,0.005271271883838406,0.001,adaptive,1000,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1000}",-0.03234793367359372,-0.03254338031737126,-0.035701528368118726,-0.03382727498843259,-0.034142793864415856,-0.03371258224238643,0.001215190685823216,1
1.1639118194580078,0.07283782384055817,0.027123498916625976,0.0016399660006098634,0.001,adaptive,500,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 500}",-0.03258094627732215,-0.03280140188563274,-0.035532440365526996,-0.03367308590866203,-0.03430772691647897,-0.033779120270724584,0.0010729728594632943,2
1.1162853717803956,0.02160525214978729,0.02790722846984863,0.0050904172637490945,0.001,adaptive,1500,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1500}",-0.03243090545146304,-0.032704304823216866,-0.03564543428685898,-0.03388341110197103,-0.034346563534304625,-0.03380212383956291,0.0011650117652509178,3
1.0827994346618652,0.0723043305888833,0.02696967124938965,0.004153678220112609,0.01,adaptive,1500,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1500}",-0.032675661948326905,-0.032958797915103574,-0.03559141701001164,-0.03421905560552773,-0.03408570156027923,-0.033906126807849817,0.0010374825676782641,4
1.0468493938446044,0.026219263421284705,0.023633384704589845,0.0056531312994350475,0.01,adaptive,500,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 500}",-0.03268222688262349,-0.033006541846180903,-0.03567736488793185,-0.034198242997520424,-0.03412859998181467,-0.03393859531921427,0.0010558431348276225,5
1.0227264404296874,0.015533079047127031,0.025635623931884767,0.005626768698615383,0.01,adaptive,1000,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1000}",-0.03267693826841939,-0.03298428116277907,-0.03567838051783343,-0.034212823292666825,-0.034176652808692774,-0.03394581521007829,0.0010640449497956036,6
0.38532390594482424,0.019456194379258537,0.020549964904785157,0.00325459988867862,0.001,constant,1500,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 1500}",-0.032951893857328815,-0.03470515463912315,-0.036254603721574956,-0.03455236876907776,-0.03525629486405649,-0.03474406317023224,0.0010764985395947911,7
0.3221110820770264,0.007811952349161315,0.019935750961303712,0.006072405316026122,0.01,constant,1500,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 1500}",-0.03374080978655124,-0.03672667094604684,-0.037471897229879106,-0.03453064758480346,-0.03412945161806527,-0.03531989543306918,0.0014928971296843483,8
0.33638486862182615,0.03977376621668496,0.020923137664794922,0.007521933150077426,0.01,constant,1000,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 1000}",-0.0335523231778748,-0.03533396674508875,-0.037890353449262455,-0.034784636963066454,-0.03508196215019745,-0.035328648497097985,0.0014194713726120355,9
0.9776325225830078,0.010448729284350644,0.03474593162536621,0.017116204918948247,0.1,adaptive,1000,"{'regressor__alpha': 0.1, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1000}",-0.03404090733844457,-0.03506863394036928,-0.03748289604251797,-0.03634197566499435,-0.035088650520534656,-0.035604612701372176,0.0011891439875891263,10
1.016593074798584,0.039104702804184974,0.024471521377563477,0.0025644339030868406,0.1,adaptive,1500,"{'regressor__alpha': 0.1, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 1500}",-0.03404946124417177,-0.035054372002557795,-0.0375265371697964,-0.036370801322158454,-0.03511740988848479,-0.03562371632543384,0.0012031326930175515,11
0.9899700164794922,0.016839019605847917,0.023958349227905275,0.0017719513285257029,0.1,adaptive,500,"{'regressor__alpha': 0.1, 'regressor__learning_rate': 'adaptive', 'regressor__max_iter': 500}",-0.03404618731117101,-0.03503643095184004,-0.037530720362849136,-0.03638286515941936,-0.03512310088728091,-0.035623860934512086,0.0012080636542911305,12
0.32832159996032717,0.014221969984679431,0.01895461082458496,0.004222605422594866,0.01,constant,500,"{'regressor__alpha': 0.01, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 500}",-0.033408543901212236,-0.033763819256663524,-0.037197508070128726,-0.040325698953179445,-0.034209651331315136,-0.03578104430249981,0.0026392228556337202,13
0.44724035263061523,0.04667818374403505,0.024709081649780272,0.005747723267633076,0.001,constant,1000,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 1000}",-0.037237952974852634,-0.03365409115431025,-0.03675771281131788,-0.03543952255240557,-0.03613283840609023,-0.035844423579795316,0.001250656266401219,14
0.37709841728210447,0.029080449240203865,0.035747718811035153,0.024748791206464442,0.001,constant,500,"{'regressor__alpha': 0.001, 'regressor__learning_rate': 'constant', 'regressor__max_iter': 500}",-0.0336632956366967,-0.03572730019541458,-0.040619218575351994,-0.035838719236766695,-0.03575770740377861,-0.03632124820960171,0.00229958465109201,15
