,kernel,C,gamma,mean_test,mean_train,rank_test_score,mean_fit_time,mean_score_time
"{'regressor__C': 0.1, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",rbf,0.1,0.001,0.039461,0.039299,30,0.9428429007530212,0.5281838178634644
"{'regressor__C': 0.1, 'regressor__gamma': 0.01, 'regressor__kernel': 'rbf'}",rbf,0.1,0.01,0.034929,0.034169,24,1.054770290851593,0.5240731239318848
"{'regressor__C': 0.1, 'regressor__gamma': 0.1, 'regressor__kernel': 'rbf'}",rbf,0.1,0.1,0.034287,0.029704,9,0.8570634126663208,0.4805414080619812
"{'regressor__C': 0.1, 'regressor__gamma': 1.0, 'regressor__kernel': 'rbf'}",rbf,0.1,1.0,0.055505,0.038097,44,1.0855271220207214,0.6341659426689148
"{'regressor__C': 1.0, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",rbf,1.0,0.001,0.035091,0.034438,25,0.9324077367782593,0.4934230446815491
"{'regressor__C': 1.0, 'regressor__gamma': 0.01, 'regressor__kernel': 'rbf'}",rbf,1.0,0.01,0.033029,0.030383,2,1.0913411974906921,0.5375931262969971
"{'regressor__C': 1.0, 'regressor__gamma': 0.1, 'regressor__kernel': 'rbf'}",rbf,1.0,0.1,0.033479,0.017356,3,1.3054583668708801,0.5976780652999878
"{'regressor__C': 1.0, 'regressor__gamma': 1.0, 'regressor__kernel': 'rbf'}",rbf,1.0,1.0,0.052326,0.008969,41,1.2914113402366638,0.7191123962402344
"{'regressor__C': 10.0, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",rbf,10.0,0.001,0.033926,0.031748,4,1.1362905502319336,0.585464596748352
"{'regressor__C': 10.0, 'regressor__gamma': 0.01, 'regressor__kernel': 'rbf'}",rbf,10.0,0.01,0.032694,0.024669,1,1.1121639013290405,0.4507001042366028
"{'regressor__C': 10.0, 'regressor__gamma': 0.1, 'regressor__kernel': 'rbf'}",rbf,10.0,0.1,0.039850,0.008902,31,1.3326956033706665,0.5112331509590149
"{'regressor__C': 10.0, 'regressor__gamma': 1.0, 'regressor__kernel': 'rbf'}",rbf,10.0,1.0,0.053521,0.007634,42,1.2877082824707031,0.7341246008872986
"{'regressor__C': 0.01, 'regressor__gamma': 0.001, 'regressor__kernel': 'sigmoid'}",sigmoid,0.01,0.001,0.061079,0.061064,47,1.2672970294952393,0.3129193186759949
"{'regressor__C': 0.01, 'regressor__gamma': 0.01, 'regressor__kernel': 'sigmoid'}",sigmoid,0.01,0.01,0.043799,0.043696,37,1.3494965434074402,0.28890275955200195
"{'regressor__C': 0.01, 'regressor__gamma': 0.1, 'regressor__kernel': 'sigmoid'}",sigmoid,0.01,0.1,0.048277,0.047828,38,1.1757285594940186,0.29346519708633423
"{'regressor__C': 0.01, 'regressor__gamma': 1.0, 'regressor__kernel': 'sigmoid'}",sigmoid,0.01,1.0,6.259442,6.281205,59,3.236897885799408,0.9724573493003845
"{'regressor__C': 0.1, 'regressor__gamma': 0.001, 'regressor__kernel': 'sigmoid'}",sigmoid,0.1,0.001,0.043703,0.043599,36,1.134603202342987,0.2875349521636963
"{'regressor__C': 0.1, 'regressor__gamma': 0.01, 'regressor__kernel': 'sigmoid'}",sigmoid,0.1,0.01,0.035706,0.035232,26,1.1313511729240417,0.25331413745880127
"{'regressor__C': 0.1, 'regressor__gamma': 0.1, 'regressor__kernel': 'sigmoid'}",sigmoid,0.1,0.1,3.367407,3.343809,58,2.0443291068077087,0.4888806939125061
"{'regressor__C': 0.1, 'regressor__gamma': 1.0, 'regressor__kernel': 'sigmoid'}",sigmoid,0.1,1.0,542.605924,550.507994,61,4.338644087314606,1.2095973491668701
"{'regressor__C': 1.0, 'regressor__gamma': 0.001, 'regressor__kernel': 'sigmoid'}",sigmoid,1.0,0.001,0.035712,0.035224,27,1.099176049232483,0.288366436958313
"{'regressor__C': 1.0, 'regressor__gamma': 0.01, 'regressor__kernel': 'sigmoid'}",sigmoid,1.0,0.01,0.037542,0.036171,29,1.2830735445022583,0.25956636667251587
"{'regressor__C': 1.0, 'regressor__gamma': 0.1, 'regressor__kernel': 'sigmoid'}",sigmoid,1.0,0.1,379.040092,376.870262,60,2.8309560418128967,0.932316243648529
"{'regressor__C': 1.0, 'regressor__gamma': 1.0, 'regressor__kernel': 'sigmoid'}",sigmoid,1.0,1.0,56670.869191,58157.570357,63,3.126205623149872,0.9508206248283386
"{'regressor__C': 10.0, 'regressor__gamma': 0.001, 'regressor__kernel': 'sigmoid'}",sigmoid,10.0,0.001,0.034388,0.032969,18,1.2613220810890198,0.2669025659561157
"{'regressor__C': 10.0, 'regressor__gamma': 0.01, 'regressor__kernel': 'sigmoid'}",sigmoid,10.0,0.01,1.081353,1.110355,57,1.31520414352417,0.23460614681243896
"{'regressor__C': 10.0, 'regressor__gamma': 0.1, 'regressor__kernel': 'sigmoid'}",sigmoid,10.0,0.1,37984.113122,37814.641936,62,2.2658236026763916,0.730560302734375
"{'regressor__C': 10.0, 'regressor__gamma': 1.0, 'regressor__kernel': 'sigmoid'}",sigmoid,10.0,1.0,5996498.865176,6084845.985771,64,2.689814031124115,0.919117271900177
