,0
0,#8dd3c7
1,#ffffb3
2,#bebada
3,#fb8072
4,#80b1d3
5,#fdb462
6,#b3de69
7,#fccde5
8,#d9d9d9
9,#bc80bd
10,#ccebc5
11,#ffed6f
